 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 08, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\Tin in Platinum.txt

 Ion = Tin [50] , Mass = 112 amu

 Target Density =  2.1450E+01 g/cm3 = 6.5904E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pt     78    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.093E-02  1.178E+00      27 A        24 A        18 A   
  11.00 keV   4.293E-02  1.222E+00      29 A        25 A        19 A   
  12.00 keV   4.484E-02  1.263E+00      31 A        26 A        20 A   
  13.00 keV   4.667E-02  1.301E+00      32 A        27 A        21 A   
  14.00 keV   4.843E-02  1.337E+00      33 A        28 A        22 A   
  15.00 keV   5.013E-02  1.370E+00      35 A        29 A        23 A   
  16.00 keV   5.178E-02  1.402E+00      36 A        30 A        23 A   
  17.00 keV   5.337E-02  1.432E+00      38 A        31 A        24 A   
  18.00 keV   5.492E-02  1.460E+00      39 A        32 A        25 A   
  20.00 keV   5.789E-02  1.513E+00      42 A        34 A        26 A   
  22.50 keV   6.140E-02  1.572E+00      45 A        36 A        28 A   
  25.00 keV   6.472E-02  1.625E+00      48 A        39 A        30 A   
  27.50 keV   6.788E-02  1.673E+00      51 A        41 A        31 A   
  30.00 keV   7.090E-02  1.717E+00      54 A        43 A        33 A   
  32.50 keV   7.379E-02  1.757E+00      57 A        45 A        34 A   
  35.00 keV   7.658E-02  1.794E+00      60 A        47 A        36 A   
  37.50 keV   7.926E-02  1.828E+00      63 A        49 A        37 A   
  40.00 keV   8.186E-02  1.860E+00      66 A        51 A        39 A   
  45.00 keV   8.683E-02  1.918E+00      71 A        55 A        42 A   
  50.00 keV   9.153E-02  1.969E+00      77 A        58 A        44 A   
