 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 08, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\Platinum in Platinum.txt

 Ion = Platinum [78] , Mass = 195.965 amu

 Target Density =  2.1450E+01 g/cm3 = 6.5916E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pt     78    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.409E-02  5.452E-01       9 A         7 A         5 A   
   1.10 keV   3.575E-02  5.754E-01       9 A         7 A         5 A   
   1.20 keV   3.734E-02  6.043E-01      10 A         8 A         6 A   
   1.30 keV   3.887E-02  6.319E-01      10 A         8 A         6 A   
   1.40 keV   4.033E-02  6.584E-01      10 A         8 A         6 A   
   1.50 keV   4.175E-02  6.840E-01      11 A         8 A         6 A   
   1.60 keV   4.312E-02  7.087E-01      11 A         9 A         6 A   
   1.70 keV   4.445E-02  7.325E-01      11 A         9 A         6 A   
   1.80 keV   4.573E-02  7.556E-01      11 A         9 A         7 A   
   2.00 keV   4.821E-02  7.998E-01      12 A         9 A         7 A   
   2.25 keV   5.113E-02  8.518E-01      13 A        10 A         7 A   
   2.50 keV   5.390E-02  9.006E-01      13 A        10 A         7 A   
   2.75 keV   5.653E-02  9.467E-01      14 A        11 A         8 A   
   3.00 keV   5.904E-02  9.904E-01      14 A        11 A         8 A   
   3.25 keV   6.145E-02  1.032E+00      15 A        11 A         8 A   
   3.50 keV   6.377E-02  1.072E+00      15 A        12 A         8 A   
   3.75 keV   6.601E-02  1.110E+00      16 A        12 A         9 A   
   4.00 keV   6.818E-02  1.147E+00      16 A        12 A         9 A   
   4.50 keV   7.231E-02  1.216E+00      17 A        13 A         9 A   
   5.00 keV   7.622E-02  1.280E+00      18 A        14 A        10 A   
