 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 08, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\Silicon in Platinum.txt

 Ion = Silicon [14] , Mass = 31.974 amu

 Target Density =  2.1450E+01 g/cm3 = 6.5916E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pt     78    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.232E-02  1.130E-01      11 A        18 A        13 A   
   1.10 keV   2.341E-02  1.177E-01      12 A        18 A        14 A   
   1.20 keV   2.445E-02  1.221E-01      12 A        19 A        14 A   
   1.30 keV   2.545E-02  1.263E-01      13 A        20 A        15 A   
   1.40 keV   2.641E-02  1.302E-01      14 A        21 A        15 A   
   1.50 keV   2.733E-02  1.339E-01      14 A        22 A        16 A   
   1.60 keV   2.823E-02  1.374E-01      15 A        22 A        16 A   
   1.70 keV   2.910E-02  1.408E-01      15 A        23 A        17 A   
   1.80 keV   2.994E-02  1.440E-01      16 A        24 A        17 A   
   2.00 keV   3.156E-02  1.500E-01      17 A        25 A        18 A   
   2.25 keV   3.348E-02  1.568E-01      18 A        27 A        20 A   
   2.50 keV   3.529E-02  1.630E-01      19 A        28 A        21 A   
   2.75 keV   3.701E-02  1.686E-01      20 A        30 A        22 A   
   3.00 keV   3.866E-02  1.739E-01      21 A        31 A        23 A   
   3.25 keV   4.023E-02  1.787E-01      23 A        32 A        24 A   
   3.50 keV   4.175E-02  1.833E-01      24 A        34 A        25 A   
   3.75 keV   4.322E-02  1.875E-01      25 A        35 A        26 A   
   4.00 keV   4.463E-02  1.915E-01      26 A        36 A        27 A   
   4.50 keV   4.734E-02  1.988E-01      28 A        39 A        29 A   
   5.00 keV   4.990E-02  2.053E-01      30 A        41 A        31 A   
