 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 02, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\cd106_in_pb208.txt

 Ion = Cadmium [48] , Mass = 113.903 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2971E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.203E-02  1.097E+00      54 A        47 A        37 A   
  11.00 keV   5.456E-02  1.138E+00      57 A        50 A        38 A   
  12.00 keV   5.699E-02  1.176E+00      60 A        52 A        40 A   
  13.00 keV   5.932E-02  1.211E+00      63 A        54 A        42 A   
  14.00 keV   6.156E-02  1.244E+00      66 A        56 A        44 A   
  15.00 keV   6.372E-02  1.276E+00      69 A        58 A        45 A   
  16.00 keV   6.581E-02  1.305E+00      72 A        60 A        47 A   
  17.00 keV   6.783E-02  1.333E+00      74 A        62 A        48 A   
  18.00 keV   6.980E-02  1.359E+00      77 A        64 A        50 A   
  20.00 keV   7.357E-02  1.408E+00      82 A        68 A        53 A   
  22.50 keV   7.804E-02  1.463E+00      89 A        73 A        56 A   
  25.00 keV   8.226E-02  1.512E+00      95 A        77 A        59 A   
  27.50 keV   8.627E-02  1.557E+00     101 A        82 A        63 A   
  30.00 keV   9.011E-02  1.598E+00     107 A        86 A        66 A   
  32.50 keV   9.379E-02  1.635E+00     113 A        90 A        69 A   
  35.00 keV   9.733E-02  1.669E+00     118 A        94 A        72 A   
  37.50 keV   1.007E-01  1.701E+00     124 A        98 A        75 A   
  40.00 keV   1.041E-01  1.731E+00     129 A       102 A        78 A   
  45.00 keV   1.104E-01  1.785E+00     140 A       109 A        83 A   
  50.00 keV   1.163E-01  1.832E+00     151 A       117 A        89 A   
