 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 02, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\cd106_in_si14.txt

 Ion = Cadmium [48] , Mass = 113.903 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.600E-01  5.015E+00     120 A        40 A        30 A   
  11.00 keV   2.727E-01  5.169E+00     127 A        41 A        31 A   
  12.00 keV   2.849E-01  5.311E+00     133 A        43 A        33 A   
  13.00 keV   2.965E-01  5.440E+00     139 A        45 A        34 A   
  14.00 keV   3.077E-01  5.561E+00     146 A        47 A        36 A   
  15.00 keV   3.185E-01  5.672E+00     152 A        48 A        37 A   
  16.00 keV   3.289E-01  5.776E+00     158 A        50 A        38 A   
  17.00 keV   3.391E-01  5.873E+00     164 A        51 A        39 A   
  18.00 keV   3.489E-01  5.964E+00     169 A        53 A        41 A   
  20.00 keV   3.678E-01  6.131E+00     181 A        56 A        43 A   
  22.50 keV   3.901E-01  6.314E+00     195 A        59 A        46 A   
  25.00 keV   4.112E-01  6.475E+00     208 A        63 A        49 A   
  27.50 keV   4.312E-01  6.617E+00     221 A        66 A        52 A   
  30.00 keV   4.504E-01  6.743E+00     234 A        69 A        54 A   
  32.50 keV   4.688E-01  6.857E+00     247 A        72 A        57 A   
  35.00 keV   4.865E-01  6.959E+00     259 A        76 A        60 A   
  37.50 keV   5.036E-01  7.052E+00     272 A        79 A        62 A   
  40.00 keV   5.201E-01  7.137E+00     284 A        82 A        65 A   
  45.00 keV   5.516E-01  7.284E+00     308 A        87 A        69 A   
  50.00 keV   5.815E-01  7.408E+00     331 A        93 A        74 A   
