 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 02, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\cd106_in_ti48.txt

 Ion = Cadmium [48] , Mass = 113.903 amu

 Target Density =  4.5189E+00 g/cm3 = 5.6812E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.674E-01  3.755E+00      73 A        32 A        24 A   
  11.00 keV   1.756E-01  3.873E+00      77 A        33 A        25 A   
  12.00 keV   1.834E-01  3.982E+00      81 A        35 A        26 A   
  13.00 keV   1.909E-01  4.082E+00      85 A        36 A        27 A   
  14.00 keV   1.981E-01  4.175E+00      89 A        38 A        28 A   
  15.00 keV   2.051E-01  4.262E+00      93 A        39 A        29 A   
  16.00 keV   2.118E-01  4.342E+00      97 A        40 A        30 A   
  17.00 keV   2.183E-01  4.418E+00     100 A        42 A        31 A   
  18.00 keV   2.246E-01  4.489E+00     104 A        43 A        32 A   
  20.00 keV   2.368E-01  4.619E+00     111 A        45 A        34 A   
  22.50 keV   2.512E-01  4.762E+00     120 A        48 A        36 A   
  25.00 keV   2.647E-01  4.888E+00     128 A        51 A        39 A   
  27.50 keV   2.777E-01  5.000E+00     136 A        54 A        41 A   
  30.00 keV   2.900E-01  5.101E+00     144 A        57 A        43 A   
  32.50 keV   3.019E-01  5.191E+00     152 A        59 A        45 A   
  35.00 keV   3.133E-01  5.273E+00     160 A        62 A        47 A   
  37.50 keV   3.242E-01  5.347E+00     168 A        64 A        49 A   
  40.00 keV   3.349E-01  5.415E+00     175 A        67 A        51 A   
  45.00 keV   3.552E-01  5.534E+00     190 A        72 A        55 A   
  50.00 keV   3.744E-01  5.635E+00     205 A        76 A        58 A   
