 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 19, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Carbon.txt

 Ion = Krypton [36] , Mass = 78 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.140E-01  5.847E+00      97 A        23 A        18 A   
  11.00 keV   8.537E-01  5.978E+00     103 A        24 A        19 A   
  12.00 keV   8.917E-01  6.096E+00     109 A        25 A        20 A   
  13.00 keV   9.281E-01  6.202E+00     115 A        26 A        21 A   
  14.00 keV   9.631E-01  6.297E+00     120 A        27 A        22 A   
  15.00 keV   9.969E-01  6.384E+00     126 A        28 A        23 A   
  16.00 keV   1.030E+00  6.463E+00     131 A        29 A        24 A   
  17.00 keV   1.061E+00  6.536E+00     137 A        30 A        25 A   
  18.00 keV   1.092E+00  6.602E+00     142 A        31 A        25 A   
  20.00 keV   1.151E+00  6.719E+00     152 A        33 A        27 A   
  22.50 keV   1.221E+00  6.841E+00     165 A        35 A        29 A   
  25.00 keV   1.287E+00  6.943E+00     178 A        37 A        31 A   
  27.50 keV   1.350E+00  7.027E+00     190 A        39 A        33 A   
  30.00 keV   1.410E+00  7.097E+00     202 A        42 A        35 A   
  32.50 keV   1.467E+00  7.156E+00     214 A        44 A        37 A   
  35.00 keV   1.523E+00  7.205E+00     226 A        46 A        38 A   
  37.50 keV   1.576E+00  7.246E+00     237 A        47 A        40 A   
  40.00 keV   1.628E+00  7.280E+00     249 A        49 A        42 A   
  45.00 keV   1.727E+00  7.331E+00     272 A        53 A        45 A   
  50.00 keV   1.820E+00  7.364E+00     294 A        57 A        48 A   
