 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 04, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Lead.txt

 Ion = Krypton [36] , Mass = 78 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2842E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.481E-02  7.640E-01      59 A        58 A        45 A   
  11.00 keV   8.895E-02  7.898E-01      62 A        61 A        47 A   
  12.00 keV   9.291E-02  8.136E-01      66 A        64 A        50 A   
  13.00 keV   9.670E-02  8.356E-01      69 A        67 A        52 A   
  14.00 keV   1.003E-01  8.561E-01      73 A        70 A        54 A   
  15.00 keV   1.039E-01  8.752E-01      76 A        73 A        56 A   
  16.00 keV   1.073E-01  8.931E-01      79 A        75 A        58 A   
  17.00 keV   1.106E-01  9.099E-01      82 A        78 A        60 A   
  18.00 keV   1.138E-01  9.258E-01      86 A        81 A        62 A   
  20.00 keV   1.199E-01  9.550E-01      92 A        86 A        66 A   
  22.50 keV   1.272E-01  9.875E-01      99 A        92 A        71 A   
  25.00 keV   1.341E-01  1.016E+00     107 A        98 A        76 A   
  27.50 keV   1.406E-01  1.042E+00     114 A       103 A        80 A   
  30.00 keV   1.469E-01  1.065E+00     121 A       109 A        85 A   
  32.50 keV   1.529E-01  1.087E+00     128 A       115 A        89 A   
  35.00 keV   1.587E-01  1.106E+00     135 A       120 A        93 A   
  37.50 keV   1.642E-01  1.124E+00     142 A       125 A        97 A   
  40.00 keV   1.696E-01  1.140E+00     149 A       131 A       101 A   
  45.00 keV   1.799E-01  1.169E+00     162 A       141 A       109 A   
  50.00 keV   1.896E-01  1.194E+00     176 A       151 A       117 A   
