 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 19, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\Lead in Carbon.txt

 Ion = Lead [82] , Mass = 208 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.189E+00  7.104E+00     104 A        17 A        12 A   
  11.00 keV   1.248E+00  7.380E+00     109 A        18 A        13 A   
  12.00 keV   1.303E+00  7.637E+00     114 A        19 A        13 A   
  13.00 keV   1.356E+00  7.877E+00     118 A        19 A        14 A   
  14.00 keV   1.407E+00  8.102E+00     123 A        20 A        14 A   
  15.00 keV   1.457E+00  8.314E+00     127 A        21 A        15 A   
  16.00 keV   1.505E+00  8.515E+00     132 A        21 A        15 A   
  17.00 keV   1.551E+00  8.705E+00     136 A        22 A        16 A   
  18.00 keV   1.596E+00  8.885E+00     140 A        22 A        16 A   
  20.00 keV   1.682E+00  9.221E+00     148 A        23 A        17 A   
  22.50 keV   1.784E+00  9.600E+00     157 A        24 A        18 A   
  25.00 keV   1.881E+00  9.942E+00     166 A        26 A        19 A   
  27.50 keV   1.973E+00  1.025E+01     175 A        27 A        20 A   
  30.00 keV   2.060E+00  1.054E+01     184 A        28 A        21 A   
  32.50 keV   2.144E+00  1.080E+01     192 A        29 A        22 A   
  35.00 keV   2.225E+00  1.104E+01     200 A        30 A        23 A   
  37.50 keV   2.303E+00  1.127E+01     208 A        31 A        24 A   
  40.00 keV   2.379E+00  1.148E+01     216 A        32 A        25 A   
  45.00 keV   2.523E+00  1.186E+01     231 A        34 A        26 A   
  50.00 keV   2.660E+00  1.220E+01     246 A        35 A        28 A   
