 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 04, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\Lead in Lead.txt

 Ion = Lead [82] , Mass = 208 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2842E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.239E-01  1.732E+00      49 A        36 A        25 A   
  11.00 keV   1.300E-01  1.808E+00      51 A        37 A        26 A   
  12.00 keV   1.358E-01  1.879E+00      54 A        39 A        27 A   
  13.00 keV   1.413E-01  1.946E+00      56 A        40 A        28 A   
  14.00 keV   1.466E-01  2.009E+00      58 A        41 A        29 A   
  15.00 keV   1.518E-01  2.069E+00      60 A        43 A        30 A   
  16.00 keV   1.568E-01  2.126E+00      63 A        44 A        31 A   
  17.00 keV   1.616E-01  2.180E+00      65 A        45 A        32 A   
  18.00 keV   1.663E-01  2.232E+00      67 A        46 A        33 A   
  20.00 keV   1.753E-01  2.329E+00      70 A        49 A        35 A   
  22.50 keV   1.859E-01  2.440E+00      75 A        52 A        37 A   
  25.00 keV   1.960E-01  2.542E+00      80 A        54 A        39 A   
  27.50 keV   2.055E-01  2.636E+00      84 A        57 A        41 A   
  30.00 keV   2.147E-01  2.723E+00      88 A        59 A        42 A   
  32.50 keV   2.234E-01  2.804E+00      92 A        62 A        44 A   
  35.00 keV   2.319E-01  2.879E+00      97 A        64 A        46 A   
  37.50 keV   2.400E-01  2.950E+00     101 A        66 A        47 A   
  40.00 keV   2.479E-01  3.017E+00     104 A        68 A        49 A   
  45.00 keV   2.629E-01  3.140E+00     112 A        73 A        52 A   
  50.00 keV   2.771E-01  3.251E+00     119 A        77 A        55 A   
