 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 02, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\pb208_in_si14.txt

 Ion = Lead [82] , Mass = 207.977 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.220E-01  5.792E+00     123 A        32 A        23 A   
  11.00 keV   6.523E-01  6.024E+00     128 A        33 A        24 A   
  12.00 keV   6.813E-01  6.239E+00     134 A        35 A        25 A   
  13.00 keV   7.091E-01  6.441E+00     140 A        36 A        26 A   
  14.00 keV   7.359E-01  6.631E+00     145 A        37 A        27 A   
  15.00 keV   7.617E-01  6.810E+00     150 A        38 A        28 A   
  16.00 keV   7.867E-01  6.979E+00     155 A        39 A        29 A   
  17.00 keV   8.109E-01  7.140E+00     160 A        40 A        30 A   
  18.00 keV   8.344E-01  7.293E+00     165 A        41 A        31 A   
  20.00 keV   8.796E-01  7.578E+00     174 A        43 A        32 A   
  22.50 keV   9.329E-01  7.901E+00     185 A        45 A        34 A   
  25.00 keV   9.834E-01  8.194E+00     196 A        48 A        36 A   
  27.50 keV   1.031E+00  8.460E+00     206 A        50 A        38 A   
  30.00 keV   1.077E+00  8.705E+00     216 A        52 A        39 A   
  32.50 keV   1.121E+00  8.932E+00     226 A        54 A        41 A   
  35.00 keV   1.164E+00  9.141E+00     236 A        56 A        43 A   
  37.50 keV   1.204E+00  9.337E+00     245 A        57 A        44 A   
  40.00 keV   1.244E+00  9.520E+00     254 A        59 A        46 A   
  45.00 keV   1.319E+00  9.853E+00     272 A        63 A        49 A   
  50.00 keV   1.391E+00  1.015E+01     289 A        66 A        51 A   
