 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 01, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Rubidium in Lead.txt

 Ion = Rubidium [37] , Mass = 84.91 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2971E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.204E-02  8.216E-01      59 A        57 A        44 A   
  11.00 keV   5.458E-02  8.497E-01      63 A        60 A        47 A   
  12.00 keV   5.701E-02  8.756E-01      66 A        63 A        49 A   
  13.00 keV   5.933E-02  8.997E-01      69 A        66 A        51 A   
  14.00 keV   6.157E-02  9.220E-01      73 A        68 A        53 A   
  15.00 keV   6.373E-02  9.429E-01      76 A        71 A        55 A   
  16.00 keV   6.582E-02  9.625E-01      79 A        74 A        57 A   
  17.00 keV   6.785E-02  9.810E-01      82 A        76 A        59 A   
  18.00 keV   6.982E-02  9.984E-01      86 A        79 A        61 A   
  20.00 keV   7.359E-02  1.030E+00      92 A        84 A        65 A   
  22.50 keV   7.806E-02  1.066E+00      99 A        90 A        70 A   
  25.00 keV   8.228E-02  1.098E+00     107 A        96 A        74 A   
  27.50 keV   8.630E-02  1.126E+00     114 A       101 A        79 A   
  30.00 keV   9.013E-02  1.152E+00     121 A       107 A        83 A   
  32.50 keV   9.381E-02  1.176E+00     128 A       112 A        87 A   
  35.00 keV   9.736E-02  1.197E+00     135 A       118 A        92 A   
  37.50 keV   1.008E-01  1.217E+00     142 A       123 A        96 A   
  40.00 keV   1.041E-01  1.235E+00     149 A       128 A       100 A   
  45.00 keV   1.104E-01  1.267E+00     162 A       138 A       107 A   
  50.00 keV   1.164E-01  1.295E+00     175 A       148 A       115 A   
