 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 01, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Selenium in Lead.txt

 Ion = Selenium [34] , Mass = 79.92 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2971E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.257E-02  7.583E-01      61 A        60 A        47 A   
  11.00 keV   5.514E-02  7.836E-01      65 A        63 A        49 A   
  12.00 keV   5.759E-02  8.068E-01      68 A        66 A        52 A   
  13.00 keV   5.994E-02  8.283E-01      72 A        69 A        54 A   
  14.00 keV   6.220E-02  8.483E-01      76 A        72 A        56 A   
  15.00 keV   6.439E-02  8.669E-01      79 A        75 A        59 A   
  16.00 keV   6.650E-02  8.843E-01      82 A        78 A        61 A   
  17.00 keV   6.854E-02  9.007E-01      86 A        81 A        63 A   
  18.00 keV   7.053E-02  9.162E-01      89 A        84 A        65 A   
  20.00 keV   7.435E-02  9.445E-01      96 A        89 A        69 A   
  22.50 keV   7.886E-02  9.761E-01     104 A        95 A        74 A   
  25.00 keV   8.312E-02  1.004E+00     112 A       102 A        79 A   
  27.50 keV   8.718E-02  1.029E+00     119 A       108 A        84 A   
  30.00 keV   9.105E-02  1.051E+00     127 A       114 A        89 A   
  32.50 keV   9.477E-02  1.072E+00     134 A       120 A        93 A   
  35.00 keV   9.835E-02  1.090E+00     142 A       125 A        98 A   
  37.50 keV   1.018E-01  1.107E+00     149 A       131 A       102 A   
  40.00 keV   1.051E-01  1.123E+00     156 A       137 A       106 A   
  45.00 keV   1.115E-01  1.151E+00     171 A       148 A       115 A   
  50.00 keV   1.176E-01  1.174E+00     185 A       158 A       123 A   
