 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 02, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\ti48_in_si14.txt

 Ion = Titanium [22] , Mass = 47.95 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.189E-01  2.895E+00     139 A        60 A        45 A   
  11.00 keV   3.345E-01  2.940E+00     149 A        64 A        48 A   
  12.00 keV   3.494E-01  2.979E+00     159 A        68 A        50 A   
  13.00 keV   3.637E-01  3.012E+00     169 A        71 A        53 A   
  14.00 keV   3.774E-01  3.041E+00     178 A        75 A        56 A   
  15.00 keV   3.906E-01  3.066E+00     188 A        78 A        58 A   
  16.00 keV   4.034E-01  3.088E+00     197 A        81 A        61 A   
  17.00 keV   4.159E-01  3.108E+00     207 A        85 A        63 A   
  18.00 keV   4.279E-01  3.124E+00     216 A        88 A        66 A   
  20.00 keV   4.511E-01  3.152E+00     235 A        95 A        71 A   
  22.50 keV   4.784E-01  3.177E+00     258 A       103 A        76 A   
  25.00 keV   5.043E-01  3.193E+00     280 A       111 A        82 A   
  27.50 keV   5.289E-01  3.204E+00     303 A       118 A        88 A   
  30.00 keV   5.524E-01  3.210E+00     326 A       126 A        93 A   
  32.50 keV   5.750E-01  3.211E+00     348 A       133 A        99 A   
  35.00 keV   5.967E-01  3.210E+00     371 A       141 A       104 A   
  37.50 keV   6.176E-01  3.206E+00     393 A       148 A       110 A   
  40.00 keV   6.379E-01  3.199E+00     415 A       156 A       115 A   
  45.00 keV   6.766E-01  3.182E+00     460 A       170 A       125 A   
  50.00 keV   7.132E-01  3.160E+00     505 A       185 A       136 A   
