 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 02, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\ti48_in_ti48.txt

 Ion = Titanium [22] , Mass = 47.95 amu

 Target Density =  4.5189E+00 g/cm3 = 5.6812E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.054E-01  1.941E+00      91 A        52 A        38 A   
  11.00 keV   2.154E-01  1.976E+00      97 A        55 A        40 A   
  12.00 keV   2.250E-01  2.006E+00     104 A        58 A        42 A   
  13.00 keV   2.342E-01  2.032E+00     110 A        61 A        44 A   
  14.00 keV   2.430E-01  2.056E+00     116 A        64 A        47 A   
  15.00 keV   2.515E-01  2.076E+00     123 A        67 A        49 A   
  16.00 keV   2.598E-01  2.095E+00     129 A        70 A        51 A   
  17.00 keV   2.678E-01  2.111E+00     135 A        73 A        53 A   
  18.00 keV   2.755E-01  2.126E+00     141 A        76 A        55 A   
  20.00 keV   2.904E-01  2.151E+00     153 A        82 A        59 A   
  22.50 keV   3.080E-01  2.175E+00     168 A        89 A        64 A   
  25.00 keV   3.247E-01  2.194E+00     183 A        95 A        69 A   
  27.50 keV   3.406E-01  2.207E+00     198 A       102 A        73 A   
  30.00 keV   3.557E-01  2.217E+00     213 A       109 A        78 A   
  32.50 keV   3.702E-01  2.224E+00     227 A       115 A        83 A   
  35.00 keV   3.842E-01  2.228E+00     242 A       122 A        87 A   
  37.50 keV   3.977E-01  2.231E+00     257 A       128 A        92 A   
  40.00 keV   4.107E-01  2.231E+00     271 A       135 A        96 A   
  45.00 keV   4.356E-01  2.228E+00     301 A       147 A       105 A   
  50.00 keV   4.592E-01  2.221E+00     330 A       160 A       114 A   
