 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 13, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\w184_in_ti48.txt

 Ion = Tungsten [74] , Mass = 183.951 amu

 Target Density =  4.5189E+00 g/cm3 = 5.6812E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.731E-01  4.520E+00      72 A        26 A        19 A   
  11.00 keV   3.913E-01  4.695E+00      76 A        27 A        20 A   
  12.00 keV   4.087E-01  4.857E+00      79 A        28 A        21 A   
  13.00 keV   4.253E-01  5.009E+00      83 A        29 A        22 A   
  14.00 keV   4.414E-01  5.151E+00      86 A        30 A        22 A   
  15.00 keV   4.569E-01  5.285E+00      89 A        31 A        23 A   
  16.00 keV   4.719E-01  5.412E+00      92 A        32 A        24 A   
  17.00 keV   4.864E-01  5.532E+00      95 A        33 A        25 A   
  18.00 keV   5.005E-01  5.645E+00      98 A        34 A        25 A   
  20.00 keV   5.276E-01  5.857E+00     104 A        36 A        27 A   
  22.50 keV   5.596E-01  6.096E+00     111 A        38 A        28 A   
  25.00 keV   5.898E-01  6.311E+00     118 A        39 A        30 A   
  27.50 keV   6.186E-01  6.507E+00     124 A        41 A        31 A   
  30.00 keV   6.461E-01  6.686E+00     131 A        43 A        33 A   
  32.50 keV   6.725E-01  6.851E+00     137 A        45 A        34 A   
  35.00 keV   6.979E-01  7.004E+00     143 A        46 A        35 A   
  37.50 keV   7.224E-01  7.146E+00     149 A        48 A        37 A   
  40.00 keV   7.461E-01  7.278E+00     155 A        50 A        38 A   
  45.00 keV   7.914E-01  7.517E+00     166 A        53 A        40 A   
  50.00 keV   8.342E-01  7.729E+00     177 A        55 A        43 A   
